nroDireccion,cutoff,n_meses_pre_cutoff,n_meses_post_cutoff,primer_mes,ultimo_mes_pre,primer_mes_post,total_facturado_pre,total_pagado_pre,total_pendiente_pre,ratio_pago_pre,ratio_pago_post,pct_pendiente_post,cumple_pago_heur,split,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
4366,2025-01,6,8,2022-06,2024-12,2025-01,1437.0,1437.0,0.0,1.0,0.8315217391304348,0.16847826086956522,0,train,0.49000496,-0.09055485,0.15484726,0.2567799,0.24120775,0.07768443,-0.59417605,-0.118503936,-0.28727677,0.33475557,-0.82118607,0.37839687,0.025157213,0.5192553,0.8490679,0.4437823,-0.07999615,-0.1096831,-0.5651713,-0.077081926,-0.21156767,-1.0303925,-0.71003795,-0.30928245,0.5056852,0.32203472,-0.05267681,-0.45327,-0.013364394,0.09636202,-0.3529978,0.47671232
4367,2025-01,4,1,2022-06,2024-07,2025-08,159.0,159.0,0.0,1.0,1.0,0.0,1,train,0.5645588,-0.43842822,0.08733004,0.13789517,0.3777951,-0.13622873,-0.2948627,-0.32771397,-0.24847123,0.37562874,-0.6147232,0.46782637,-0.16562527,0.21622166,0.8734399,0.5086399,-0.15985452,0.089821905,-0.4650848,-0.08753815,-0.56812054,-0.81514746,-0.47091162,-0.26696056,0.6928102,0.4960542,-0.19618092,-0.4523818,0.026828479,0.132478,-0.34723857,0.30650362
4446,2025-01,4,2,2022-08,2024-11,2025-05,147.5,147.5,0.0,1.0,1.0,0.0,1,train,0.5565599,-0.45547846,0.08176671,0.13171679,0.36848938,-0.15018146,-0.2883701,-0.3506484,-0.22589698,0.39845031,-0.6328045,0.46591744,-0.16000977,0.21098483,0.8784082,0.51758945,-0.15752092,0.08160326,-0.42732596,-0.1016946,-0.562609,-0.8164112,-0.47191793,-0.27088648,0.7091104,0.51220596,-0.20959955,-0.47043175,0.025150802,0.14275157,-0.34816504,0.3142576
4498,2025-01,12,14,2022-08,2024-11,2025-01,4676.59,4676.59,0.0,1.0,0.9439734401784424,0.05602655982155765,0,train,0.30491635,-0.3906638,-0.0016742572,0.1985847,0.24233621,-0.09575388,-0.19651902,-0.244043,0.0067282505,0.24251452,-0.46469873,0.25438106,0.06802049,0.13199955,0.68354404,0.36558065,-0.20763934,-0.029848048,-0.16326924,-0.27287054,-0.3734712,-0.5841331,-0.40489528,-0.14121392,0.43250644,0.34938517,-0.052009583,-0.3391085,-0.0042887824,0.029423513,-0.3385825,0.3653061
4528,2025-01,3,2,2022-09,2024-12,2025-01,904.0,904.0,0.0,1.0,1.0,0.0,1,train,0.57337,-0.47730145,0.09270817,0.12906367,0.36682028,-0.15975481,-0.29876518,-0.33956558,-0.23884523,0.39317384,-0.63835937,0.46187088,-0.17694625,0.22978905,0.90866053,0.53689355,-0.19358483,0.08072564,-0.46728066,-0.059010208,-0.6004499,-0.85220945,-0.5003467,-0.2850763,0.728026,0.506642,-0.2026415,-0.5028783,-0.0017169323,0.14207056,-0.36952546,0.329005
4538,2025-01,6,2,2022-09,2024-07,2025-10,637.0,637.0,0.0,1.0,1.0,0.0,1,train,0.49709624,-0.44579995,0.062380347,0.11856342,0.31153315,-0.146877,-0.24643008,-0.3632221,-0.14796221,0.4093201,-0.61134946,0.41866797,-0.121674545,0.16674528,0.82708704,0.4849902,-0.14507884,0.046426598,-0.30091336,-0.150487,-0.4966995,-0.7388269,-0.44231373,-0.24394149,0.6687336,0.5134219,-0.2008895,-0.46119964,0.02250811,0.13037151,-0.32234633,0.31976774
50039,2025-01,3,1,2022-10,2023-11,2025-04,321.6,321.6,0.0,1.0,1.0,0.0,1,train,0.5827129,-0.46538597,0.089231834,0.13422427,0.39148808,-0.15285659,-0.30309168,-0.33577165,-0.261772,0.3870725,-0.6284569,0.48016295,-0.18423209,0.23473306,0.9029281,0.5318091,-0.17524587,0.097686484,-0.4938024,-0.060727432,-0.60614306,-0.84757185,-0.48835737,-0.2841603,0.72637624,0.50200677,-0.20648143,-0.4828074,0.013195448,0.14568996,-0.3646628,0.31168792
50067,2025-01,4,2,2022-10,2023-04,2025-09,91.0,91.0,0.0,1.0,1.0,0.0,1,test,0.56503695,-0.43542424,0.088658944,0.1393948,0.37947133,-0.13264468,-0.29668897,-0.3272361,-0.25147918,0.3756692,-0.61465305,0.4695124,-0.16528991,0.21627368,0.87253904,0.5080989,-0.1569781,0.08867568,-0.4666758,-0.088039145,-0.56856996,-0.81528723,-0.47048217,-0.26585996,0.6912195,0.49589625,-0.19750452,-0.45070517,0.028409436,0.13195497,-0.3446743,0.3060891
50069,2025-01,4,1,2022-10,2023-10,2025-12,156.5,156.5,0.0,1.0,1.0,0.0,1,test,0.5629226,-0.38799182,0.1018077,0.1568048,0.36933064,-0.11371946,-0.33929643,-0.29460394,-0.27088144,0.36356106,-0.6505217,0.4680555,-0.14538005,0.26349363,0.87410724,0.4990459,-0.1450969,0.073757574,-0.5029334,-0.08503103,-0.518241,-0.85746264,-0.5045546,-0.27498537,0.67108285,0.4750614,-0.17552045,-0.4436471,0.030653711,0.12916303,-0.35111094,0.326107
50090,2025-01,8,10,2022-11,2024-12,2025-01,4736.2,4017.2,719.0,0.8958333333333333,0.8855250496300305,0.11447495036996931,0,train,0.21901254,-0.42182922,0.025596917,0.46094272,0.33649793,-0.1814679,-0.34209794,-0.1383101,-0.16954687,-0.044588327,-1.0050678,0.20515431,0.12719274,0.18357736,1.0510168,0.42487565,-0.20161884,-0.07562189,-0.5727692,-0.36478955,-0.4066002,-1.1901838,-0.73838073,-0.25602823,0.5364522,0.6687348,0.21059254,-0.3466142,-0.0008822493,-0.113819145,-0.44936362,0.59478235
50092,2025-01,19,13,2022-11,2024-12,2025-01,6222.66,6222.66,0.0,1.0,1.0,0.0,1,train,0.16762552,0.48107797,0.3024127,0.08384058,-0.31245062,0.31273407,-0.3161086,0.30601498,0.09256131,0.2715872,-0.6646902,-0.06995629,0.1955824,0.4149583,-0.070345,-0.015407093,0.081704095,-0.26584557,-0.032764662,-0.18059492,0.5292094,-0.17833595,-0.6564704,-0.048814267,-0.3119221,-0.29434058,-0.08115189,-0.03686009,-0.12953691,0.12695941,-0.015102422,0.31526786
